productName,category,batchNum,supplier,date,availableQty,damageQty,displayQty,description,isNil,isCancelled
E58 633,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,12,0,0,,FALSE,FALSE
E58 634,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E58 635,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,17,0,0,,FALSE,FALSE
E58 636,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E58 637,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E58 638,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,11,0,0,,FALSE,FALSE
E58 640,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E58 1077,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E58 2048,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,9,0,0,,FALSE,FALSE
E58 2051,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,8,0,0,,FALSE,FALSE
E59 2051,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
E59 2059,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,7,0,0,,FALSE,FALSE
E59 2060,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,5,0,0,,FALSE,FALSE
E60 509,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,3,0,0,,FALSE,FALSE
E60 563,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E60 1079,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,6,0,0,,FALSE,FALSE
E60 1080,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,4,0,0,,FALSE,FALSE
E61 2056,REAL PLUS,0,KETONE LAMINATES LLP,08-08-2026,10,0,0,,FALSE,FALSE
